Date,RegionID,RegionName,State,Metro,County,City,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI
10/31/18,274772,Northeast Dallas,TX,Dallas-Fort Worth-Arlington,Dallas County,Dallas,0,319600,0.005980485,0.008520038,0.057577763,,,2018-10,2018-Q4,319600,0,2018-10
10/31/18,192689,Paradise,NV,Las Vegas-Henderson-Paradise,Clark County,Las Vegas,1,257800,0.009792401,0.040355125,0.164408311,,,2006-07,2006-Q3,299100,-0.138080909,2005-01
10/31/18,270958,Upper West Side,NY,New York-Newark-Jersey City,New York County,New York,2,1367600,-0.006176877,-0.01604432,-0.057867181,,,2017-07,2017-Q3,1473600,-0.071932682,2015-11
10/31/18,118208,South Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Los Angeles,3,471800,0.004257131,0.012881065,0.092382496,,,2018-10,2018-Q4,471800,0,2018-10
10/31/18,270957,Upper East Side,NY,New York-Newark-Jersey City,New York County,New York,4,1336900,-0.009777054,-0.026009034,-0.020586081,,,2017-06,2017-Q2,1395400,-0.041923463,2016-11
10/31/18,192820,Sunrise Manor,NV,Las Vegas-Henderson-Paradise,Clark County,Las Vegas,5,216900,0.014499532,0.054961089,0.19570011,,,2006-09,2006-Q3,259500,-0.16416185,2005-04
10/31/18,192796,Spring Valley,NV,Las Vegas-Henderson-Paradise,Clark County,Las Vegas,6,275400,0.009530792,0.03689759,0.148457048,,,2006-06,2006-Q2,315400,-0.126823082,2004-12
10/31/18,268496,Southeast Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Los Angeles,7,377600,0.00908605,0.026086957,0.088498126,,,2007-04,2007-Q2,400400,-0.056943057,2006-07
10/31/18,194430,East New York,NY,New York-Newark-Jersey City,Kings County,New York,8,433900,0.013785047,0.042778178,0.077209533,,,2018-10,2018-Q4,433900,0,2018-10
10/31/18,112547,Paradise Valley,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Phoenix,9,335200,0.002392344,0.011771808,0.066157761,,,2006-05,2006-Q2,363600,-0.078107811,2005-10
10/31/18,198687,Washington Heights,NY,New York-Newark-Jersey City,New York County,New York,10,667800,0.026752768,0.051156934,0.064223108,,,2018-10,2018-Q4,667800,0,2018-10
10/31/18,111818,Deer Valley,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Phoenix,11,248800,0.008103728,0.018837019,0.06188647,,,2006-05,2006-Q2,268000,-0.071641791,2005-11
10/31/18,267955,North Mountain,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Phoenix,12,215600,0.014111007,0.033557047,0.113636364,,,2006-06,2006-Q2,223300,-0.034482759,2006-01
10/31/18,272816,Astoria,NY,New York-Newark-Jersey City,Queens County,New York,13,826600,0.014731156,0.030416355,0.049917439,,,2018-10,2018-Q4,826600,0,2018-10
10/31/18,273698,Far North,TX,Dallas-Fort Worth-Arlington,Dallas County,Dallas,14,382200,0.003412969,0.007114625,0.062847608,,,2018-10,2018-Q4,382200,0,2018-10
